#An estimate of relative contributions of transcriptional and translational regulation by absolute protein expression profiling													
#Peng Lu, Christine Vogel, Rong Wang, Xin Yao, Edward M. Marcotte													
#Supplemental Dataset S1.  APEX yeast protein abundances for rich and minimal media, with comparisons to other datasets													
#													
#Other protein and mRNA datasets are from the following sources:													
#Name	Type	Reference 											
#SAGE	mRNA	Velculescu, Cell 1997											
#HDA	mRNA	Holstege, Cell 1998											
#Wang	mRNA	Wang, PNAS 2002											
#GFP-YPD	protein	Newman, Nature 2006											
#& GFP-YMD													
#Western	protein	Ghaemmaghami, Nature 2003											
#2Dgel	protein	Futcher, Mol Cell Biol 1999											
#													
#Annotation and APEX normalization terms								YPD			YMD		
#YORF	Name	NCBI gi	NCBI gi2	SGD ID	ORF status	# potential tryptic peptides with up to 2 missed cleavages, <7.5 KDa, >3 aa long	O_i (Integrated probability of peptide observations)	n_i (# observed peptides)	p_i (probability of correct protein identification)	APEX	n_i (# observed peptides)	p_i (probability of correct protein identification)	APEX
orf	name	ncbi.gi	ncbi.gi2	sgd	orf.status	num.tryptic.peptides	o.i	n.i.ypd	p.i.ypd	apex.ypd	n.i.ymd	p.i.ymd	apex.ymd
YHR199C	YHR199C	6321993	NA	S000001242	ORF|Uncharacterized	114	36.32	NA	NA	NA	NA	NA	NA
YHR200W	RPN10	6321994	NA	S000001243	ORF|Verified	58	16.45	NA	NA	NA	NA	NA	NA
YHR201C	PPX1	6321995	NA	S000001244	ORF|Verified	136	39.89	NA	NA	NA	NA	NA	NA
YHR202W	YHR202W	6321996	NA	S000001245	ORF|Uncharacterized	163	46.19	NA	NA	NA	NA	NA	NA
YHR203C	RPS4B	6321997	NA	S000001246	ORF|Verified	125	30.45	105	1	320612	82	1	220809
YHR204W	MNL1	6321998	NA	S000001247	ORF|Verified	176	37.26	NA	NA	NA	NA	NA	NA
YHR205W	SCH9	6321999	NA	S000001248	ORF|Verified	172	40.33	NA	NA	NA	NA	NA	NA
YHR206W	SKN7	6322000	NA	S000001249	ORF|Verified	130	29.22	NA	NA	NA	NA	NA	NA
YHR207C	SET5	6322001	NA	S000001250	ORF|Verified	194	48.48	NA	NA	NA	NA	NA	NA
YHR208W	BAT1	6322002	NA	S000001251	ORF|Verified	112	30.96	NA	NA	NA	8	1	21187
YHR209W	YHR209W	6322003	NA	S000001252	ORF|Uncharacterized	85	18.34	NA	NA	NA	NA	NA	NA
YHR210C	YHR210C	6322004	NA	S000001253	ORF|Uncharacterized	100	22.76	NA	NA	NA	NA	NA	NA
YHR211W	FLO5	6322005	NA	S000001254	ORF|Verified	49	10.99	NA	NA	NA	NA	NA	NA
YHR212C	YHR212C	6322006	NA	S000001255	ORF|Dubious	65	13.7	5	0.22	7465	2	0.57	6823
YHR213W	YHR213W	6322007	NA	S000001256	ORF|Uncharacterized	9	2.07	NA	NA	NA	NA	NA	NA
YHR214C-B	YHR214C-B	6322010	NA	S000003534	transposable_element_gene	518	126.1	NA	NA	NA	NA	NA	NA
YHR214C-C	YHR214C-C	6862572	NA	S000007421	transposable_element_gene	98	23.5	NA	NA	NA	NA	NA	NA
YHR214W	YHR214W	6322008	NA	S000001257	ORF|Uncharacterized	32	10.64	NA	NA	NA	NA	NA	NA
YHR214W-A	YHR214W-A	6322009	NA	S000003535	ORF|Dubious	24	7.58	NA	NA	NA	NA	NA	NA
YHR215W	PHO12	6322011	NA	S000001258	ORF|Verified	113	22.97	5	0.96	19429	NA	NA	NA
YHR216W	IMD2	6322012	NA	S000001259	ORF|Verified	143	37.16	NA	NA	NA	NA	NA	NA
YHR218W	YHR218W	6322014	NA	S000001261	ORF|Uncharacterized	221	51.83	NA	NA	NA	NA	NA	NA
YHR219W	YHR219W	6322015	NA	S000001262	ORF|Uncharacterized	184	47.55	NA	NA	NA	NA	NA	NA
YIL001W	YIL001W	6322190	NA	S000001263	ORF|Uncharacterized	165	43.78	1	0.24	510	NA	NA	NA
YIL002C	INP51	6322189	NA	S000001264	ORF|Verified	320	81.64	NA	NA	NA	NA	NA	NA
YIL003W	DRE3	6322188	NA	S000001265	ORF|Verified	76	21.69	NA	NA	NA	NA	NA	NA
YIL004C	BET1	6322187	NA	S000001266	ORF|Verified	41	10.46	NA	NA	NA	NA	NA	NA
YIL005W	EPS1	6322186	NA	S000001267	ORF|Verified	254	61.53	1	0.26	393	NA	NA	NA
YIL006W	YIL006W	6322185	NA	S000001268	ORF|Verified	89	27.36	NA	NA	NA	NA	NA	NA
YIL007C	YIL007C	6322184	NA	S000001269	ORF|Verified	67	21.24	NA	NA	NA	NA	NA	NA
YIL008W	URM1	6322183	NA	S000001270	ORF|Verified	17	3.85	NA	NA	NA	NA	NA	NA
YIL009C-A	EST3	6322181	NA	S000006432	ORF|Verified	38	6.73	NA	NA	NA	NA	NA	NA
YIL009W	FAA3	6322182	NA	S000001271	ORF|Verified	241	47.74	NA	NA	NA	NA	NA	NA
YIL010W	DOT5	6322180	NA	S000001272	ORF|Verified	93	27.99	NA	NA	NA	NA	NA	NA
YIL011W	TIR3	6322179	NA	S000001273	ORF|Verified	19	5.73	NA	NA	NA	NA	NA	NA
YIL012W	YIL012W	6322178	NA	S000001274	ORF|Dubious	44	9.29	NA	NA	NA	NA	NA	NA
YIL013C	PDR11	6322177	NA	S000001275	ORF|Verified	329	79.65	NA	NA	NA	NA	NA	NA
YIL014W	MNT3	6322176	NA	S000001276	ORF|Verified	188	47.03	NA	NA	NA	NA	NA	NA
YIL015W	BAR1	6322174	NA	S000001277	ORF|Verified	73	19.54	NA	NA	NA	NA	NA	NA
YIL016W	SNL1	6322173	NA	S000001278	ORF|Verified	73	14.47	NA	NA	NA	NA	NA	NA
YIL017C	VID28	6322172	NA	S000001279	ORF|Verified	263	71.74	NA	NA	NA	NA	NA	NA
YIL018W	RPL2B	6322171	NA	S000001280	ORF|Verified	115	24.75	73	1	274236	63	1	208716
YIL019W	YIL019W	6322170	NA	S000001281	ORF|Verified	169	26.87	NA	NA	NA	NA	NA	NA
YIL020C	HIS6	6322169	NA	S000001282	ORF|Verified	95	24.33	NA	NA	NA	NA	NA	NA
YIL021W	RPB3	6322168	NA	S000001283	ORF|Verified	77	18.79	NA	NA	NA	NA	NA	NA
YIL022W	TIM44	6322167	NA	S000001284	ORF|Verified	202	48.05	NA	NA	NA	NA	NA	NA
YIL023C	YIL023C	6322166	NA	S000001285	ORF|Uncharacterized	43	7.29	2	0.94	23978	2	0.37	8323
YIL024C	YIL024C	6322165	NA	S000001286	ORF|Uncharacterized	55	13.08	NA	NA	NA	NA	NA	NA
YIL025C	YIL025C	6322164	NA	S000001287	ORF|Dubious	48	11.29	NA	NA	NA	NA	NA	NA
YIL026C	IRR1	6322163	NA	S000001288	ORF|Verified	362	89.83	NA	NA	NA	NA	NA	NA
YIL027C	KRE27	6322162	NA	S000001289	ORF|Verified	37	8.99	NA	NA	NA	NA	NA	NA
YIL028W	YIL028W	6322161	NA	S000001290	ORF|Dubious	37	9.61	NA	NA	NA	NA	NA	NA
YIL029C	YIL029C	6322160	NA	S000001291	ORF|Uncharacterized	41	5.49	NA	NA	NA	NA	NA	NA
YIL030C	SSM4	6322159	NA	S000001292	ORF|Verified	321	77.64	NA	NA	NA	NA	NA	NA
YIL031W	ULP2	6322158	NA	S000001293	ORF|Verified	320	84.43	NA	NA	NA	8	1	7769
YIL032C	YIL032C	6322157	NA	S000001294	ORF|Dubious	53	9.25	NA	NA	NA	NA	NA	NA
YIL033C	BCY1	6322156	NA	S000001295	ORF|Verified	144	42.63	NA	NA	NA	NA	NA	NA
YIL034C	CAP2	6322155	NA	S000001296	ORF|Verified	64	22.68	NA	NA	NA	NA	NA	NA
YIL035C	CKA1	6322154	NA	S000001297	ORF|Verified	143	42.46	NA	NA	NA	NA	NA	NA
YIL036W	CST6	6322153	NA	S000001298	ORF|Verified	157	36.29	5	0.3	3843	6	0.75	10168
YIL037C	PRM2	6322152	NA	S000001299	ORF|Verified	151	36.29	2	0.49	2511	NA	NA	NA
YIL038C	NOT3	6322151	NA	S000001300	ORF|Verified	286	66.15	3	0.52	2193	NA	NA	NA
YIL039W	YIL039W	6322150	NA	S000001301	ORF|Uncharacterized	106	27.42	NA	NA	NA	NA	NA	NA
YIL040W	YIL040W	6322149	NA	S000001302	ORF|Verified	29	8.7	NA	NA	NA	NA	NA	NA
YIL041W	YIL041W	6322148	NA	S000001303	ORF|Uncharacterized	97	25.38	NA	NA	NA	NA	NA	NA
YIL042C	YIL042C	6322147	NA	S000001304	ORF|Uncharacterized	107	28.05	NA	NA	NA	NA	NA	NA
YIL043C	CBR1	6322146	NA	S000001305	ORF|Verified	114	32.38	NA	NA	NA	NA	NA	NA
YIL044C	AGE2	6322145	NA	S000001306	ORF|Verified	83	21.15	1	0.27	1187	NA	NA	NA
YIL045W	PIG2	6322144	NA	S000001307	ORF|Verified	176	45.17	NA	NA	NA	NA	NA	NA
YIL046W	MET30	6322143	NA	S000001308	ORF|Verified	213	50.13	NA	NA	NA	NA	NA	NA
YIL047C	SYG1	6322142	NA	S000001309	ORF|Verified	263	65.97	NA	NA	NA	NA	NA	NA
YIL048W	NEO1	6322141	NA	S000001310	ORF|Verified	318	81.41	NA	NA	NA	NA	NA	NA
YIL049W	DFG10	6322140	NA	S000001311	ORF|Verified	63	15.27	NA	NA	NA	NA	NA	NA
YIL050W	PCL7	6322139	NA	S000001312	ORF|Verified	71	22.3	NA	NA	NA	1	0.42	1544
YIL051C	MMF1	6322138	NA	S000001313	ORF|Verified	37	11.65	11	1	87790	7	1	49268
YIL052C	RPL34B	6322137	NA	S000001314	ORF|Verified	76	10.62	15	1	131324	15	0.79	91492
YIL053W	RHR2	6322136	NA	S000001315	ORF|Verified	90	24.54	64	1	242484	34	1	113604
YIL054W	FYV2	6322135	NA	S000001316	ORF|Dubious	13	3.67	NA	NA	NA	NA	NA	NA
YIL055C	YIL055C	6322134	NA	S000001317	ORF|Uncharacterized	157	46.44	NA	NA	NA	NA	NA	NA
YIL056W	YIL056W	6322133	NA	S000001318	ORF|Uncharacterized	164	43.88	1	0.77	1632	NA	NA	NA
YIL057C	YIL057C	6322132	NA	S000001319	ORF|Uncharacterized	73	17.87	NA	NA	NA	NA	NA	NA
YIL058W	YIL058W	6322130	NA	S000001320	ORF|Dubious	15	2.58	NA	NA	NA	NA	NA	NA
YIL059C	YIL059C	6322131	NA	S000001321	ORF|Dubious	15	2.94	NA	NA	NA	NA	NA	NA
YIL060W	YIL060W	6322129	NA	S000001322	ORF|Uncharacterized	37	11.13	NA	NA	NA	NA	NA	NA
YIL061C	SNP1	6322128	NA	S000001323	ORF|Verified	137	37.91	NA	NA	NA	NA	NA	NA
YIL062C	ARC15	6322127	NA	S000001324	ORF|Verified	45	15.86	NA	NA	NA	NA	NA	NA
YIL063C	YRB2	6322126	NA	S000001325	ORF|Verified	149	38.28	NA	NA	NA	NA	NA	NA
YIL064W	YIL064W	6322125	NA	S000001326	ORF|Uncharacterized	76	19.33	NA	NA	NA	NA	NA	NA
YIL065C	FIS1	6322124	NA	S000001327	ORF|Verified	61	15.75	NA	NA	NA	NA	NA	NA
YIL066C	RNR3	6322123	NA	S000001328	ORF|Verified	244	62.54	5	0.87	6467	5	0.99	6490
YIL067C	YIL067C	6322122	NA	S000001329	ORF|Uncharacterized	143	33.2	2	0.59	3305	NA	NA	NA
YIL068C	SEC6	6322121	NA	S000001330	ORF|Verified	270	68.08	NA	NA	NA	NA	NA	NA
YIL069C	RPS24B	6322120	NA	S000001331	ORF|Verified	85	16.22	95	1	544565	76	1	384196
YIL070C	MAM33	6322119	NA	S000001332	ORF|Verified	59	16.17	NA	NA	NA	NA	NA	NA
YIL071C	PCI8	13432314	NA	S000001333	ORF|Verified	101	26.1	NA	NA	NA	NA	NA	NA
YIL072W	HOP1	6322118	NA	S000001334	ORF|Verified	200	53.79	NA	NA	NA	NA	NA	NA
YIL073C	SPO22	6322117	NA	S000001335	ORF|Verified	267	70.53	NA	NA	NA	NA	NA	NA
YIL074C	SER33	6322116	NA	S000001336	ORF|Verified	119	35.13	NA	NA	NA	15	1	35011
YIL075C	RPN2	6322115	NA	S000001337	ORF|Verified	284	83.37	NA	NA	NA	NA	NA	NA
YIL076W	SEC28	6322114	NA	S000001338	ORF|Verified	79	23.51	NA	NA	NA	NA	NA	NA
YIL077C	YIL077C	6322113	NA	S000001339	ORF|Uncharacterized	127	35.6	NA	NA	NA	NA	NA	NA
YIL078W	THS1	14318437	6322112	S000001340	ORF|Verified	271	73.88	26	1	32721	22	1	24417
YIL079C	AIR1	6322111	NA	S000001341	ORF|Verified	149	28.32	NA	NA	NA	1	0.49	1419
YIL082W	YIL082W	6322109	NA	S000001344	ORF|Dubious	100	17.99	NA	NA	NA	NA	NA	NA
YIL082W-A	YIL082W-A	6322110	NA	S000003537	transposable_element_gene	534	149.18	NA	NA	NA	NA	NA	NA
YIL083C	YIL083C	6322108	NA	S000001345	ORF|Uncharacterized	118	34.48	NA	NA	NA	2	0.28	1332
YIL084C	SDS3	6322107	NA	S000001346	ORF|Verified	135	27.12	NA	NA	NA	NA	NA	NA
YIL085C	KTR7	6322106	NA	S000001347	ORF|Verified	164	36.64	10	0.2	5075	NA	NA	NA
YIL086C	YIL086C	6322105	NA	S000001348	ORF|Dubious	44	6.19	NA	NA	NA	NA	NA	NA
YIL087C	YIL087C	6322104	NA	S000001349	ORF|Uncharacterized	40	12.49	NA	NA	NA	NA	NA	NA
YIL088C	YIL088C	6322103	NA	S000001350	ORF|Verified	65	13.44	NA	NA	NA	1	0.71	4332
YIL089W	YIL089W	6322102	NA	S000001351	ORF|Uncharacterized	77	17.4	NA	NA	NA	NA	NA	NA
YIL090W	YIL090W	6322101	NA	S000001352	ORF|Verified	112	21.44	NA	NA	NA	NA	NA	NA
YIL091C	YIL091C	6322100	NA	S000001353	ORF|Uncharacterized	270	68.54	NA	NA	NA	3	0.4	1436
YIL092W	YIL092W	6322099	NA	S000001354	ORF|Uncharacterized	235	59.15	5	0.36	2829	1	0.25	347
YIL093C	RSM25	6322098	NA	S000001355	ORF|Verified	83	23.28	NA	NA	NA	1	0.53	1867
YIL094C	LYS12	6322097	NA	S000001356	ORF|Verified	120	34.83	NA	NA	NA	NA	NA	NA
YIL095W	PRK1	6322096	NA	S000001357	ORF|Verified	270	65.9	NA	NA	NA	NA	NA	NA
YIL096C	YIL096C	6322095	NA	S000001358	ORF|Uncharacterized	152	27.93	NA	NA	NA	NA	NA	NA
YIL097W	FYV10	6322094	NA	S000001359	ORF|Verified	160	43.7	NA	NA	NA	NA	NA	NA
YIL098C	FMC1	6322093	NA	S000001360	ORF|Verified	80	21.87	NA	NA	NA	NA	NA	NA
YIL099W	SGA1	6322092	NA	S000001361	ORF|Verified	87	21.29	NA	NA	NA	NA	NA	NA
YIL100W	YIL100W	6322091	NA	S000001362	ORF|Dubious	36	7.25	NA	NA	NA	NA	NA	NA
YIL101C	XBP1	6322090	NA	S000001363	ORF|Verified	159	38.39	NA	NA	NA	NA	NA	NA
YIL102C	YIL102C	6322089	NA	S000001364	ORF|Uncharacterized	18	2.03	NA	NA	NA	NA	NA	NA
YIL103W	YIL103W	6322088	NA	S000001365	ORF|Verified	144	37.05	NA	NA	NA	NA	NA	NA
YIL104C	SHQ1	6322087	NA	S000001366	ORF|Verified	153	44.17	NA	NA	NA	NA	NA	NA
YIL105C	YIL105C	6322086	NA	S000001367	ORF|Verified	182	48.07	NA	NA	NA	NA	NA	NA
YIL106W	MOB1	6681848	NA	S000001368	ORF|Verified	63	17.37	NA	NA	NA	NA	NA	NA
YIL107C	PFK26	6322084	NA	S000001369	ORF|Verified	280	75.05	1	0.48	595	1	0.21	229
YIL108W	YIL108W	6322083	NA	S000001370	ORF|Uncharacterized	189	54.16	NA	NA	NA	NA	NA	NA
YIL109C	SEC24	6322082	NA	S000001371	ORF|Verified	200	54.28	NA	NA	NA	NA	NA	NA
YIL110W	YIL110W	6322081	NA	S000001372	ORF|Uncharacterized	92	23.83	1	0.37	1444	NA	NA	NA
YIL111W	COX5B	6322080	NA	S000001373	ORF|Verified	61	19.08	NA	NA	NA	NA	NA	NA
YIL112W	YIL112W	6322079	NA	S000001374	ORF|Uncharacterized	445	115.93	NA	NA	NA	NA	NA	NA
YIL113W	YIL113W	6322078	NA	S000001375	ORF|Verified	66	22	NA	NA	NA	NA	NA	NA
YIL114C	POR2	6322077	NA	S000001376	ORF|Verified	89	30.74	2	0.59	3569	NA	NA	NA
YIL115C	NUP159	6322076	NA	S000001377	ORF|Verified	354	107.36	NA	NA	NA	4	0.95	2902
YIL116W	HIS5	6322075	NA	S000001378	ORF|Verified	111	27.43	NA	NA	NA	NA	NA	NA
YIL117C	PRM5	6322074	NA	S000001379	ORF|Verified	68	17	NA	NA	NA	1	0.44	2122
YIL118W	RHO3	6322073	NA	S000001380	ORF|Verified	57	14.4	NA	NA	NA	NA	NA	NA
YIL119C	RPI1	6322072	NA	S000001381	ORF|Verified	94	17.32	NA	NA	NA	NA	NA	NA
YIL120W	QDR1	6322071	NA	S000001382	ORF|Verified	150	32.91	NA	NA	NA	NA	NA	NA
YIL121W	YIL121W	6322070	NA	S000001383	ORF|Verified	131	32.5	NA	NA	NA	NA	NA	NA
YIL122W	POG1	6322069	NA	S000001384	ORF|Verified	84	17.76	NA	NA	NA	NA	NA	NA
YIL123W	SIM1	6322068	NA	S000001385	ORF|Verified	51	8.25	NA	NA	NA	NA	NA	NA
YIL124W	AYR1	6322067	NA	S000001386	ORF|Verified	92	23.47	1	0.23	911	NA	NA	NA
YIL125W	KGD1	6322066	NA	S000001387	ORF|Verified	317	88.48	5	1	5254	14	1	12974
YIL126W	STH1	6322065	NA	S000001388	ORF|Verified	560	142.1	3	0.65	1276	NA	NA	NA
YIL127C	YIL127C	6322064	NA	S000001389	ORF|Uncharacterized	108	21.64	NA	NA	NA	NA	NA	NA
YIL128W	MET18	6322063	NA	S000001390	ORF|Verified	301	90.97	NA	NA	NA	NA	NA	NA
YIL129C	TAO3	6322062	NA	S000001391	ORF|Verified	681	193.36	3	0.66	952	NA	NA	NA
YIL130W	GIN1	6322061	NA	S000001392	ORF|Uncharacterized	233	63	NA	NA	NA	NA	NA	NA
YIL131C	FKH1	6322060	NA	S000001393	ORF|Verified	133	29.16	NA	NA	NA	1	0.23	647
YIL132C	CSM2	6322059	NA	S000001394	ORF|Verified	77	23.41	NA	NA	NA	NA	NA	NA
YIL133C	RPL16A	6322058	NA	S000001395	ORF|Verified	104	29.55	NA	NA	NA	NA	NA	NA
YIL134W	FLX1	6322057	NA	S000001396	ORF|Verified	89	25.32	NA	NA	NA	NA	NA	NA
YIL135C	YIL135C	6322056	NA	S000001397	ORF|Verified	96	31.31	NA	NA	NA	4	0.81	8485
YIL136W	OM45	6322055	NA	S000001398	ORF|Verified	192	43.51	NA	NA	NA	NA	NA	NA
YIL137C	YIL137C	6322054	NA	S000001399	ORF|Uncharacterized	261	73.68	NA	NA	NA	NA	NA	NA
YIL138C	TPM2	6322053	NA	S000001400	ORF|Verified	71	21.34	NA	NA	NA	NA	NA	NA
YIL139C	REV7	6322052	NA	S000001401	ORF|Verified	74	18.85	NA	NA	NA	NA	NA	NA
YIL140W	AXL2	6322051	NA	S000001402	ORF|Verified	143	45.67	5	0.33	3359	NA	NA	NA
YIL141W	YIL141W	6322050	NA	S000001403	ORF|Dubious	27	5.08	NA	NA	NA	NA	NA	NA
YIL142W	CCT2	6322049	NA	S000001404	ORF|Verified	179	52.71	NA	NA	NA	2	0.48	1493
YIL143C	SSL2	6322048	NA	S000001405	ORF|Verified	237	59.65	5	0.56	4364	NA	NA	NA
YIL144W	TID3	6322047	NA	S000001406	ORF|Verified	285	84	1	0.3	332	NA	NA	NA
YIL145C	PAN6	6322046	NA	S000001407	ORF|Verified	95	25.43	NA	NA	NA	NA	NA	NA
YIL146C	ECM37	6322045	NA	S000001408	ORF|Verified	136	31.42	2	0.53	3137	NA	NA	NA
YIL147C	SLN1	6322044	NA	S000001409	ORF|Verified	349	94.68	NA	NA	NA	NA	NA	NA
YIL148W	RPL40A	6322043	NA	S000001410	ORF|Verified	63	15.32	NA	NA	NA	NA	NA	NA
YIL149C	MLP2	6322042	NA	S000001411	ORF|Verified	767	200.29	3	0.78	1086	NA	NA	NA
YIL150C	DNA43	6322041	NA	S000001412	ORF|Verified	255	65.34	NA	NA	NA	4	0.96	4819
YIL151C	YIL151C	6322040	NA	S000001413	ORF|Uncharacterized	303	80.59	NA	NA	NA	NA	NA	NA
YIL152W	YIL152W	6322039	NA	S000001414	ORF|Uncharacterized	76	24.77	NA	NA	NA	NA	NA	NA
YIL153W	RRD1	6322038	NA	S000001415	ORF|Verified	95	20.66	1	0.39	1755	1	0.29	1151
YIL154C	IMP2'	6322037	NA	S000001416	ORF|Verified	88	11.88	NA	NA	NA	NA	NA	NA
YIL155C	GUT2	6322036	NA	S000001417	ORF|Verified	193	58.09	1	0.32	512	NA	NA	NA
YIL156W	UBP7	6322035	NA	S000001418	ORF|Verified	316	87.31	NA	NA	NA	2	0.57	1071
YIL157C	YIL157C	6322034	NA	S000001419	ORF|Uncharacterized	73	20.74	NA	NA	NA	NA	NA	NA
YIL158W	YIL158W	6322033	NA	S000001420	ORF|Uncharacterized	62	18.86	NA	NA	NA	NA	NA	NA
YIL159W	BNR1	6322032	NA	S000001421	ORF|Verified	480	126.3	13	1	9570	NA	NA	NA
YIL160C	POT1	6322031	NA	S000001422	ORF|Verified	117	27.14	1	0.25	856	NA	NA	NA
YIL161W	YIL161W	6322030	NA	S000001423	ORF|Uncharacterized	120	21.84	3	0.23	2937	NA	NA	NA
YIL162W	SUC2	6322029	NA	S000001424	ORF|Verified	101	27.79	NA	NA	NA	NA	NA	NA
YIL163C	YIL163C	6322028	NA	S000001425	ORF|Dubious	58	11.63	NA	NA	NA	NA	NA	NA
YIL164C	NIT1	6322027	NA	S000001426	ORF|Verified	65	15.72	NA	NA	NA	NA	NA	NA
YIL165C	YIL165C	6322026	NA	S000001427	ORF|Uncharacterized	22	5.38	4	0.49	33873	NA	NA	NA
YIL166C	YIL166C	6322025	NA	S000001428	ORF|Uncharacterized	151	33.47	NA	NA	NA	NA	NA	NA
YIL169C	YIL169C	6322022	NA	S000001431	ORF|Uncharacterized	91	23.43	NA	NA	NA	NA	NA	NA
YIL172C	YIL172C	6322021	NA	S000001434	ORF|Uncharacterized	198	57.71	NA	NA	NA	NA	NA	NA
YIL173W	VTH1	6322020	NA	S000001435	ORF|Verified	476	121.08	NA	NA	NA	NA	NA	NA
YIL176C	YIL176C	6322018	NA	S000001438	ORF|Uncharacterized	15	4.97	NA	NA	NA	NA	NA	NA
YIL177C	YIL177C	6322017	NA	S000001439	ORF|Uncharacterized	551	136.15	NA	NA	NA	NA	NA	NA
YIR001C	SGN1	6322191	NA	S000001440	ORF|Verified	98	23.02	NA	NA	NA	NA	NA	NA
YIR002C	MPH1	6322192	NA	S000001441	ORF|Verified	371	76.86	NA	NA	NA	NA	NA	NA
YIR003W	YIR003W	6322193	NA	S000001442	ORF|Uncharacterized	210	67.2	NA	NA	NA	NA	NA	NA
YIR004W	DJP1	6322194	NA	S000001443	ORF|Verified	158	40.15	NA	NA	NA	NA	NA	NA
YIR005W	IST3	6322195	NA	S000001444	ORF|Verified	55	12.42	NA	NA	NA	NA	NA	NA
YIR006C	PAN1	6322196	NA	S000001445	ORF|Verified	281	74.5	NA	NA	NA	NA	NA	NA
YIR007W	YIR007W	6322197	NA	S000001446	ORF|Uncharacterized	185	41.61	NA	NA	NA	NA	NA	NA
YIR008C	PRI1	6322198	NA	S000001447	ORF|Verified	157	44.4	NA	NA	NA	NA	NA	NA
YIR009W	MSL1	6322199	NA	S000001448	ORF|Verified	46	12.07	NA	NA	NA	NA	NA	NA
YIR010W	DSN1	6322200	NA	S000001449	ORF|Verified	169	46.04	NA	NA	NA	NA	NA	NA
YIR011C	STS1	6322201	NA	S000001450	ORF|Verified	84	25.11	NA	NA	NA	NA	NA	NA
YIR012W	SQT1	6322202	NA	S000001451	ORF|Verified	50	13.11	NA	NA	NA	NA	NA	NA
YIR013C	GAT4	6322203	NA	S000001452	ORF|Verified	53	11.55	NA	NA	NA	NA	NA	NA
YIR014W	YIR014W	6322204	NA	S000001453	ORF|Uncharacterized	84	20.41	NA	NA	NA	NA	NA	NA
YIR015W	RPR2	6322205	NA	S000001454	ORF|Verified	65	15.23	NA	NA	NA	NA	NA	NA
YIR016W	YIR016W	6322206	NA	S000001455	ORF|Uncharacterized	75	21.69	NA	NA	NA	NA	NA	NA
YIR017C	MET28	6322207	NA	S000001456	ORF|Verified	87	18.1	1	0.26	1336	NA	NA	NA
YIR018W	YAP5	6322208	NA	S000001457	ORF|Verified	108	27.69	NA	NA	NA	NA	NA	NA
YIR019C	MUC1	6322209	NA	S000001458	ORF|Verified	48	9.31	NA	NA	NA	NA	NA	NA
YIR020C	YIR020C	6322210	NA	S000001459	ORF|Dubious	27	9.66	NA	NA	NA	NA	NA	NA
YIR020W-B	YIR020W-B	6322211	NA	SGDID	ORF-Status	39	11.69	NA	NA	NA	NA	NA	NA
YIR021W	MRS1	6322212	NA	S000001460	ORF|Verified	140	36.58	NA	NA	NA	NA	NA	NA
YIR022W	SEC11	6322213	NA	S000001461	ORF|Verified	45	12.3	NA	NA	NA	NA	NA	NA
YIR023W	DAL81	6322214	NA	S000001462	ORF|Verified	224	57.39	1	0.2	324	NA	NA	NA
YIR024C	GIF1	6322215	NA	S000001463	ORF|Uncharacterized	102	23.8	NA	NA	NA	NA	NA	NA
YIR025W	MND2	6322216	NA	S000001464	ORF|Verified	111	24.01	NA	NA	NA	NA	NA	NA
YIR026C	YVH1	6322217	NA	S000001465	ORF|Verified	114	28.19	NA	NA	NA	NA	NA	NA
YIR027C	DAL1	6322218	NA	S000001466	ORF|Verified	94	24.12	1	0.38	1465	NA	NA	NA
YIR028W	DAL4	6322219	NA	S000001467	ORF|Verified	126	30.03	NA	NA	NA	NA	NA	NA
YIR029W	DAL2	6322220	NA	S000001468	ORF|Verified	113	31.78	NA	NA	NA	NA	NA	NA
YIR030C	DCG1	6322221	NA	S000001469	ORF|Verified	70	17.28	NA	NA	NA	NA	NA	NA
YIR031C	DAL7	6322222	NA	S000001470	ORF|Verified	161	43.82	NA	NA	NA	20	1	37424
YIR032C	DAL3	6322223	NA	S000001471	ORF|Verified	45	14.41	NA	NA	NA	NA	NA	NA
YIR033W	MGA2	6322224	NA	S000001472	ORF|Verified	276	71.61	3	0.67	2610	NA	NA	NA
YIR034C	LYS1	6322225	NA	S000001473	ORF|Verified	120	31.16	7	0.98	20469	27	1	71049
YIR035C	YIR035C	6322226	NA	S000001474	ORF|Uncharacterized	70	19.57	NA	NA	NA	1	0.2	838
YIR036C	YIR036C	6322227	NA	S000001475	ORF|Uncharacterized	81	26.09	NA	NA	NA	NA	NA	NA
YIR037W	HYR1	6322228	NA	S000001476	ORF|Verified	62	15.1	NA	NA	NA	NA	NA	NA
YIR038C	GTT1	6322229	NA	S000001477	ORF|Verified	73	25.44	NA	NA	NA	NA	NA	NA
YIR039C	YPS6	6322230	NA	S000001478	ORF|Verified	49	12.82	NA	NA	NA	NA	NA	NA
YIR040C	YIR040C	6322231	NA	S000001479	ORF|Dubious	37	9.27	NA	NA	NA	NA	NA	NA
YIR041W	YIR041W	6322232	NA	S000001480	ORF|Uncharacterized	15	5.95	NA	NA	NA	NA	NA	NA
YIR042C	YIR042C	6322233	NA	S000001481	ORF|Uncharacterized	93	23.67	NA	NA	NA	NA	NA	NA
YJL001W	PRE3	6322459	NA	S000003538	ORF|Verified	63	18.68	NA	NA	NA	NA	NA	NA
